	PassengerId	Survived	Pclass	Title	FirstName	LastName	Sex	Age	SibSp	Parch	Ticket	Fare	Embarked	ship	Ages
0	3	1	3	 Miss	 Laina	Heikkinen	female	26.0	0	0	STON/O2. 3101282	7.925	S	Titanic	Adult
1	4	1	1	 Mrs	 Jacques Heath (Lily May Peel)	Futrelle	female	35.0	1	0	113803	53.1	S	Titanic	Adult
2	5	0	3	 Mr	 William Henry	Allen	male	35.0	0	0	373450	8.05	S	Titanic	Adult
3	6	0	3	 Mr	 James	Moran	male	0.0	0	0	330877	8.4583	Q	Titanic	NoInfo
4	7	0	1	 Mr	 Timothy J	McCarthy	male	54.0	0	0	17463	51.8625	S	Titanic	Adult
5	8	0	3	 Master	 Gosta Leonard	Palsson	male	2.0	1	1	349909	21.075	S	Titanic	Child
6	9	1	3	 Mrs	 Oscar W (Elisabeth Vilhelmina Berg)	Johnson	female	27.0	0	2	347742	11.1333	S	Titanic	Adult
7	10	1	2	 Mrs	 Nicholas (Adele Achem)	Nasser	female	14.0	1	0	237736	30.0708	C	Titanic	Child
8	11	1	3	 Miss	 Marguerite	Sandstrom	female	4.0	1	1	PP 9549	16.7	S	Titanic	Child
9	12	1	1	 Miss	 Elizabeth	Bonnell	female	58.0	0	0	113783	26.55	S	Titanic	Adult
10	13	0	3	 Mr	 William Henry	Saundercock	male	20.0	0	0	A/5. 2151	8.05	S	Titanic	Young
11	15	0	3	 Miss	 Hulda Amanda Adolfina	Vestrom	female	14.0	0	0	350406	7.8542	S	Titanic	Child
12	16	1	2	 Mrs	 (Mary D Kingcome)	Hewlett	female	55.0	0	0	248706	16.0	S	Titanic	Adult
13	17	0	3	 Master	 Eugene	Rice	male	2.0	1	1	382652	29.125	Q	Titanic	Child
14	18	1	2	 Mr	 Charles Eugene	Williams	male	0.0	0	0	244373	13.0	S	Titanic	NoInfo
15	19	0	3	 Mrs	 Julius (Emelia Maria Vandemoortele)	Vander Planke	female	31.0	1	0	345763	18.0	S	Titanic	Adult
16	20	1	3	 Mrs	 Fatima	Masselmani	female	0.0	0	0	2649	7.225	C	Titanic	NoInfo
17	21	0	2	 Mr	 Joseph J	Fynney	male	35.0	0	0	239865	26.0	S	Titanic	Adult
18	22	1	2	 Mr	 Lawrence	Beesley	male	34.0	0	0	248698	13.0	S	Titanic	Adult
19	23	1	3	 Miss	" Anna ""Annie"""	McGowan	female	15.0	0	0	330923	8.0292	Q	Titanic	Young
20	25	0	3	 Miss	 Torborg Danira	Palsson	female	8.0	1	1	349909	21.075	S	Titanic	Child
21	26	1	3	 Mrs	 Carl Oscar (Selma Augusta Emilia Johansson)	Asplund	female	38.0	1	5	347077	31.3875	S	Titanic	Adult
22	27	0	3	 Mr	 Farred Chehab	Emir	male	0.0	0	0	2631	7.225	C	Titanic	NoInfo
23	28	0	1	 Mr	 Charles Alexander	Fortune	male	19.0	1	2	19950	263.0	S	Titanic	Young
